,PartNumber,Info
"
73,79,"0,79;-3.39652,-1.68612,1.05899/-3.39652,-1.68612,1.05899/-3.39652,-1.68612,1.05899;1,21,1,0;40.688577365673;1,0,1;1,0,0;2,4,0/2,5,0/2,7,0/3,2,0/4,1,2;
"
74,80,"2,80;2.79458,-2.14504,-2.95392/2.79458,-2.14504,-2.95392/2.79458,-2.14504,-2.95392;1,3,1,0;40.398590259392;1,0,1;1,0,0;1,1,2;
"
75,80,"0,80;3.16936,-1.68398,0.630981/3.16936,-1.68398,0.630981/3.16936,-1.68398,0.630981;1,19,1,0;40.862157044802;1,0,1;0,1,0;2,1,2;
"
76,81,"2,81;1.46206,2.57073,2.88464/1.4621,2.57091,2.88478/1.46202,2.57055,2.8845;1,40,1,0;40.0645261511865;2,1,1;1,1,0;3,2,2/4,1,1;
"
77,81,"0,81;2.04029,2.46436,2.92817/2.04029,2.46436,2.92817/2.04029,2.46436,2.92817;1,40,1,0;40.0263606003457;0,1,0;1,0,0;1,1,1/3,1,0;
"
78,82,"2,82;-0.796106,2.64001,1.23489/-0.796091,2.64003,1.23501/-0.79612,2.64,1.23478;1,25,1,0;40.919486194334;0,2,0;0,2,0;1,1,0/1,5,0/2,1,1/2,2,1/2,3,0/2,4,0/2,5,0/2,10,0/4,2,0/4,6,0/4,9,0;
"
79,84,"2,84;0.948797,-2.59391,-2.09199/0.948797,-2.59391,-2.09199/0.948797,-2.59391,-2.09199;1,5,1,0;40.76523820306;1,0,1;1,0,0;1,1,2;
"
80,84,"0,84;0.57076,-1.76878,-1.63658/0.57076,-1.76878,-1.63658/0.57076,-1.76878,-1.63658;1,8,1,0;40.212037122832;1,0,1;0,1,0;3,1,2;
"
81,84,"0,84;0.565864,-1.77274,-1.63492/0.565864,-1.77274,-1.63492/0.565864,-1.77274,-1.63492;1,8,1,0;40.212038012602;1,0,1;1,0,0;1,1,2;
"
82,84,"0,84;0.078665,-0.677758,-1.0382/0.078665,-0.677758,-1.0382/0.078665,-0.677758,-1.0382;1,11,1,0;40.622814252299;1,0,1;1,0,0;1,1,2;
"
83,84,"0,84;-0.665626,1.01003,-0.0903733/-0.665626,1.01003,-0.0903733/-0.665626,1.01003,-0.0903733;1,13,1,0;40.910572861464;1,0,1;1,0,0;4,1,2;
"
84,86,"2,86;-2.37531,2.66534,-0.0698444/-2.37531,2.66534,-0.0698444/-2.37531,2.66534,-0.0698444;1,14,1,0;40.565619812074;0,1,0;0,1,0;3,1,1/4,10,0;
"
85,91,"2,91;1.01293,3.7385,-1.20975/1.01293,3.7385,-1.20975/1.01293,3.7385,-1.20975;1,7,1,0;40.822559269407;1,0,1;1,0,0;1,1,2/2,3,0/3,2,0/4,2,0;
"
86,93,"2,93;1.00525,3.03185,1.73417/1.00562,3.0326,1.73426/1.00489,3.0311,1.73408;1,31,1,0;40.142968170983;0,2,0;1,1,0;1,1,1/3,5,1;
"
87,93,"0,93;3.88338,1.01567,2.27229/3.88338,1.01567,2.27229/3.88338,1.01567,2.27229;1,35,1,0;40.00926958620921;1,0,1;1,0,0;1,1,2;
"
88,95,"2,95;-0.575163,-1.79247,1.02715/-0.575163,-1.79247,1.02715/-0.575163,-1.79247,1.02715;1,22,1,0;40.275705903924;1,0,1;1,0,0;1,1,2;
"
89,95,"0,95;3.59375,-1.21112,2.30756/3.59375,-1.21112,2.30756/3.59375,-1.21112,2.30756;1,33,1,0;40.308192389534;1,0,1;1,0,0;4,1,2;
"
90,96,"2,96;-3.32908,-0.597596,0.937587/-3.32908,-0.597596,0.937587/-3.32908,-0.597596,0.937587;1,21,1,0;40.562366538903;1,0,1;0,1,0;2,1,2/2,2,0;
